NOTE_NUM	URL	TEXT	DATE
string	string	string	date
*		Additional FAR will require CPC approval. See linked Zoning Ordinance for detail.	undefined
**		Max. 1:1 FAR allowed for new C1 uses provided that such uses are combined with multiple unit residential use w/ no less than 2:1 FAR and 12 DUs.	undefined
ORD-165653	http://planning.lacity.org/PdisCaseInfo/Home/GetDocument/ZTVkZTlkNzUtM2E1My00NDI4LThjMGEtYmE5MGNiMTgwYThi0	The 1988 General Plan (Hollywood Community Plan) / Zoning Consistency Program. See linked Zoning Ordinance for detail.	19900506
ORD-165653-2.1	http://planning.lacity.org/PdisCaseInfo/Home/GetDocument/ZTVkZTlkNzUtM2E1My00NDI4LThjMGEtYmE5MGNiMTgwYThi0	The 1988 General Plan (Hollywood Community Plan) / Zoning Consistency Program. See linked Zoning Ordinance for detail.	19900506
ORD-165653-2.2	http://planning.lacity.org/PdisCaseInfo/Home/GetDocument/ZTVkZTlkNzUtM2E1My00NDI4LThjMGEtYmE5MGNiMTgwYThi0	All those properties zoned [Q]R4-1VL: Residential density shall be limited to a maximum of one dwelllng unit for each six hundred (600) square feet of lot.	19900506
ORD-165654	http://planning.lacity.org/PdisCaseInfo/Home/GetDocument/NjUzYzdjYmEtYTc0ZC00NmRmLWFhOTEtNWE4YjUxYzZjMjA00	The 1988 General Plan (Hollywood Community Plan) / Zoning Consistency Program. See linked Zoning Ordinance for detail.	19900506
ORD-165654-2.1	http://planning.lacity.org/PdisCaseInfo/Home/GetDocument/NjUzYzdjYmEtYTc0ZC00NmRmLWFhOTEtNWE4YjUxYzZjMjA00	The total floor area contained in all buildings on a lot shall not exceed three (3) times the buildable area of the lot.	19900506
ORD-165654-2.2	http://planning.lacity.org/PdisCaseInfo/Home/GetDocument/NjUzYzdjYmEtYTc0ZC00NmRmLWFhOTEtNWE4YjUxYzZjMjA00	The total floor area contained in all buildings on a lot shall not exceed two (2) times the buildable area of the lot.	19900506
ORD-165656	http://planning.lacity.org/PdisCaseInfo/Home/GetDocument/NTBmYTI1NjEtN2UyZi00ZjQ5LThlNDctOGM3MzI3OGNiZmVk0	The 1988 General Plan (Hollywood Community Plan) / Zoning Consistency Program. See linked Zoning Ordinance for detail.	19900506
ORD-165656-2.1	http://planning.lacity.org/PdisCaseInfo/Home/GetDocument/NTBmYTI1NjEtN2UyZi00ZjQ5LThlNDctOGM3MzI3OGNiZmVk0	Residential uses permitted in the R4 zone are allowed, provided that the residential density does not exceed a maximum of one dwelling unit per 600 (six hundred) square feet of lot. No building or structure shall exceed a height of 60 (sixty) feet above grade.	19900506
