NOTE_NUM	URL	TEXT	DATE
string	string	string	date
12.21.1.A.1.$1	http://library.amlegal.com/nxt/gateway.dll/California/lapz/municipalcodechapteriplanningandzoningco/chapterigeneralprovisionsandzoning/article2specificplanning-zoningcomprehen/sec12211heightofbuildingorstructures?f=templates$fn=default.htm$3.0$vid=amlegal:lapz_ca$anc=JD_12.21.1.	The total Floor Area contained in all the main Buildings on a Lot in a commercial or industrial zone in Height District No. 1 shall not exceed one-and-one-half times the Buildable Area of the Lot; for a Lot in all other zones, except the RA, RE, RS, and R1 Zones, the total Floor Area contained in all the main Buildings on a Lot in Height District No. 1 shall not exceed three times the Buildable Area of the Lot.	20110509
12.21.1.A.1.$2	http://library.amlegal.com/nxt/gateway.dll/California/lapz/municipalcodechapteriplanningandzoningco/chapterigeneralprovisionsandzoning/article2specificplanning-zoningcomprehen/sec12211heightofbuildingorstructures?f=templates$fn=default.htm$3.0$vid=amlegal:lapz_ca$anc=JD_12.21.1.	For RA, RE, RS, and R1 Zoned properties not located in a Hillside Area or Coastal Zone, the total Residential Floor Area shall comply with the Floor Area restrictions for each zone.  For RA, RE, RS, and R1 Zoned properties located in a Hillside Area, as defined in Section 12.03 of this Code, the total Residential Floor Area shall comply with the limits established in Paragraph (b) of Subdivision 10. of Subsection C. of Section 12.21 of this Code.  For RA, RE, RS, and R1 Zoned properties in a Coastal Zone not located in a Hillside Area, as defined in Section 12.03 of this Code, the total Floor Area contained in all the main buildings on a Lot shall not exceed three times the Buildable Area of the Lot.	20110509
12.21.1.A.1.$3	http://library.amlegal.com/nxt/gateway.dll/California/lapz/municipalcodechapteriplanningandzoningco/chapterigeneralprovisionsandzoning/article2specificplanning-zoningcomprehen/sec12211heightofbuildingorstructures?f=templates$fn=default.htm$3.0$vid=amlegal:lapz_ca$anc=JD_12.21.1.	Portions of Height District No. 1 may be designated as being in an "L" Limited Height District, and no Building or Structure in Height District No. 1-L shall exceed six Stories, nor shall it exceed 75 feet in height.  Portions of Height District No. 1 may be designated as being in a "VL" Very Limited Height District, and no Building or Structure in Height District No. 1-VL shall exceed three Stories, nor shall it exceed 45 feet in height.  Notwithstanding that limitation, portions of Height District No. 1-VL that are also in the RAS3 or RAS4 Zones shall not exceed 50 feet in height.  Portions of Height District No. 1 may also be designated as being in an "XL" Extra Limited Height District, and no Building or Structure in Height District No. 1-XL shall exceed two Stories, nor shall the highest point of the roof of any Building or Structure located in this District exceed 30 feet in height.  In the RA, RE, RS, and R1 Zones, portions of Height District No. 1 may also be designated as being in an "SS" Single Story Limit Height District, and no Building or Structure in Height District No. 1-SS shall exceed one Story, nor shall the highest point of the roof of any Building or Structure located in this District exceed 18 feet in height.  For the purposes of Height District No. 1-SS, a Basement does not count as a Story when the Elevation of the upper surface of the floor or roof above the Basement does not exceed two feet in height at any point above the finished or natural Grade, whichever is lower.	20110509
12.21.1.A.2	http://library.amlegal.com/nxt/gateway.dll/California/lapz/municipalcodechapteriplanningandzoningco/chapterigeneralprovisionsandzoning/article2specificplanning-zoningcomprehen/sec12211heightofbuildingorstructures?f=templates$fn=default.htm$3.0$vid=amlegal:lapz_ca$anc=JD_12.21.1.	The total floor area contained in all the buildings on a lot in Height District No. 2 shall not exceed six times the buildable area of said lot. (Amended by Ord. No. 161,684, Eff. 11/3/86.)	19861103
12.21.1.A.1.EXCEPTION	http://library.amlegal.com/nxt/gateway.dll/California/lapz/municipalcodechapteriplanningandzoningco/chapterigeneralprovisionsandzoning/article2specificplanning-zoningcomprehen/sec12211heightofbuildingorstructures?f=templates$fn=default.htm$3.0$vid=amlegal:lapz_ca$anc=JD_12.21.1.	A Building in Height District Nos. 1-XL, 1-VL, designed and used entirely for residential purposes, or a Building in the RAS3 or RAS4 Zones shall be limited as to the number of feet in height, but not as to the number of Stories.	20110509
12.21.1.$5	http://library.amlegal.com/nxt/gateway.dll/California/lapz/municipalcodechapteriplanningandzoningco/chapterigeneralprovisionsandzoning/article2specificplanning-zoningcomprehen/sec12211heightofbuildingorstructures?f=templates$fn=default.htm$3.0$vid=amlegal:lapz_ca$anc=JD_12.21.1.	In the CR Zone and those portions of the RD, R3, and RAS3 Zones, which are in Height District Nos. 2, 3 or 4, no building or structure shall exceed six stories nor shall it exceed 75 feet in height.  However, a building designed and used entirely for residential purposes or a residential building in the RAS3 Zone that has commercial uses on the ground floor, shall only be limited as to the number of feet in height.  (Amended by Ord. No. 174,999, Eff. 1/15/03.)	20030115
12.21.1.$3	http://library.amlegal.com/nxt/gateway.dll/California/lapz/municipalcodechapteriplanningandzoningco/chapterigeneralprovisionsandzoning/article2specificplanning-zoningcomprehen/sec12211heightofbuildingorstructures?f=templates$fn=default.htm$3.0$vid=amlegal:lapz_ca$anc=JD_12.21.1.	Notwithstanding the preceding paragraph, the following height regulations shall apply on a Lot that is not located in a Hillside Area or Coastal Zone:  In the R2 Zone, no Building or Structure shall exceed 33 feet in height.  In the R1, RS, or RE9 Zones, no Building or Structure shall exceed 33 feet in height; except that when the roof of the uppermost Story of a Building or Structure or portion of the Building or Structure has a Slope of less than 25 percent, the maximum height shall be 28 feet.  In the RE11, RE15, RE20, RE 40 or RA Zones, no Building or Structure shall exceed 36 feet in height; except that when the roof of the uppermost Story of a Building or Structure or portion of a Building or Structure has a Slope of less than 25 percent, the maximum height shall be 30 feet.  (Amended by Ord. No. 181,624, Eff. 5/9/11.)	20110509
12.21.1.$6	http://library.amlegal.com/nxt/gateway.dll/California/lapz/municipalcodechapteriplanningandzoningco/chapterigeneralprovisionsandzoning/article2specificplanning-zoningcomprehen/sec12211heightofbuildingorstructures?f=templates$fn=default.htm$3.0$vid=amlegal:lapz_ca$anc=JD_12.21.1.	In the PB Zone, no parking building shall exceed a height of two stories in Height District No. 1; provided, however, that the parking of automobiles shall be permitted on the roof of the parking building if a solid enclosing wall or parapet wall at least three feet six inches in height is provided and maintained around all those portions of the roof which are arranged and used for the parking of automobiles. No parking building in a PB zone shall exceed a height of six stories in Height District No. 2, ten stories in Height District No. 3 or 13 stories in Height District No. 4. Basement floors, located entirely below the natural or finished grade of a lot, whichever is lower, shall not be considered in computing the permitted height of parking buildings in the PB Zone. (Amended by Ord. No. 122,569, Eff. 9/2/62.)-zoningcomprehen/sec12211heightofbuildingorstructures?f=templates$fn=default.htm$3.0$vid=amlegal:lapz_ca$anc=JD_12.21.1.	19620902
12.16.C.3	http://library.amlegal.com/nxt/gateway.dll/California/lapz/municipalcodechapteriplanningandzoningco/chapterigeneralprovisionsandzoning/article2specificplanning-zoningcomprehen/sec1216c4commercialzone?f=templates$fn=default.htm$3.0$vid=amlegal:lapz_ca$anc=JD_12.16.	The lot area requirements of the R4 Zone (Section 12.11-C,4) shall apply to all portions of buildings erected and used for residential purposes. (Amended by Ord. No. 148,783, Eff. 10/13/76.)	19761013
