KEY	ORD	SECTION	DENSITY	DENSITY_NOTES	FAR	FAR_NOTES	HEIGHT	HEIGHT_NOTES	STORIES	STORIES_NOTES	GENERAL_NOTES
string	string	string	number	array|string	number	array|string	number	array|string	number	array|string	array|string
165653	ORD-165653		-1		-1		-1		-1		ORD-165653
165653-2.1	ORD-165653	2.1	600	ORD-165653-2.1	-1		-1		-1		ORD-165653
165653-2.2	ORD-165653	2.2	600	ORD-165653-2.2	-1		-1		-1		ORD-165653
165654	ORD-165654		-1		-1		-1		-1		ORD-165654
165654-2.1	ORD-165654	2.1	-1		3	ORD-165654-2.1, *	-1		-1		ORD-165654
165654-2.2	ORD-165654	2.2	-1		2	ORD-165654-2.2, *	-1		-1		ORD-165654
165656	ORD-165656		-1		-1		-1		-1		ORD-165656
165656-2.1	ORD-165656	2.1	600	ORD-165656-2.1	-1	ORD-165656-2.1, **	60	ORD-165656-2.1	-1		ORD-165656
165656-2.2	ORD-165656	2.2	600	ORD-165656-2.2	-1		60	ORD-165656-2.2	-1		ORD-165656
165656-2.3	ORD-165656	2.3	600		-1		-1		-1		ORD-165656
165656-3.1	ORD-165656	3.1	-1		2	ORD-165656-3.1, *	-1		-1		ORD-165656
165657	ORD-165657		-1		-1		-1		-1		ORD-165657
165657-2.1	ORD-165657	2.1	-1		-1		-1		-1		ORD-165657
165657-3.1	ORD-165657	3.1	-1		3	ORD-165657-3.1, *	-1		-1		ORD-165657
165657-3.2	ORD-165657	3.2	-1		2	ORD-165657-3.2, *	45	ORD-165657-3.2	-1		ORD-165657
165657-3.3	ORD-165657	3.3	-1		2	ORD-165657-3.3, *	-1		-1		ORD-165657
165659	ORD-165659		-1		-1		-1		-1		ORD-165659
165659-2.1	ORD-165659	2.1	600	ORD-165659-2.1	-1	ORD-165659-2.1, **	-1		-1		ORD-165659
165659-2.2	ORD-165659	2.2	600	ORD-165659-2.2	-1		60	ORD-165659-2.2	-1		ORD-165659
165659-2.3	ORD-165659	2.3	400		-1		-1		-1		ORD-165659
165659-3.1	ORD-165659	3.1	-1		2	ORD-165659-2.3, *	-1		-1		ORD-165659
165659-3.2	ORD-165659	3.2	-1		2	ORD-165659-3.2, *	-1		-1		ORD-165659
165659-3.3	ORD-165659	3.3	-1		2	ORD-165659-3.3, *	45	ORD-165659-3.3	-1		ORD-165659
165659-3.4	ORD-165659	3.4	-1		3	ORD-165659-3.4, *	-1		-1		ORD-165659
165660	ORD-165660		-1		-1		-1		-1		ORD-165660
165660-2.1	ORD-165660	2.1	-1		2	ORD-165660-2.1, *	45	ORD-165660-2.1	-1		ORD-165660
165660-2.2	ORD-165660	2.2	-1		2	ORD-165660-2.2, *	-1		-1		ORD-165660
165660-2.3	ORD-165660	2.3	-1		2	ORD-165660-2.3, *	-1		-1		ORD-165660
165660-2.4	ORD-165660	2.4	-1		3	ORD-165660-2.4, *	-1		-1		ORD-165660
165660-2.5	ORD-165660	2.5	-1		3	ORD-165660-2.5, *	-1		-1		ORD-165660
165662	ORD-165662		-1		-1		-1		-1		ORD-165662
165662-2.3	ORD-165662	2.3	1200	ORD-165662-2.3	-1		-1		-1		ORD-165662
165662-3.1	ORD-165662	3.1	400	ORD-165662-3.1	2	ORD-165662-3.1, *	-1		-1		ORD-165662
165669	ORD-165669		-1		-1		-1		-1		ORD-165669
165669-2.1	ORD-165669	2.1	-1		4.5	ORD-165669-2.1, *	-1		-1		ORD-165669
165669-2.2	ORD-165669	2.2	-1		4.5	ORD-165669-2.2, *	-1		-1		ORD-165669
169423-SA330	ORD-169423	SA330	0	ORD-169423	0	ORD-169423	30	ORD-169423	2		ORD-169423
169429-SA1450	ORD-169429	SA1450	0	ORD-169429	0	ORD-169429	30	ORD-169429	2		ORD-169429
171039-SA220	ORD-171039	SA220	0	ORD-171039	0	ORD-171039	30	ORD-171039	2		ORD-171039
171039-SA230	ORD-171039	SA230	0	ORD-171039	0	ORD-171039	30	ORD-171039	2		ORD-171039
171039-SA240	ORD-171039	SA240	0	ORD-171039	0	ORD-171039	30	ORD-171039	2		ORD-171039
171040-SA140	ORD-171040	SA140	0	ORD-171040	0	ORD-171040	0	ORD-171040	0		ORD-171040
172253-3.1	ORD-172253	3.1	-1		4.5	ORD-172253, *	-1		-1		ORD-172253
172253-3.2	ORD-172253	3.2	-1		4.5	ORD-172253, *	-1		-1		ORD-172253
177528	ORD-177528		375	ORD-177528	6	ORD-177528	150	ORD-177528	-1		ORD-177528, CPC-2005-4358-ZC-ZAA
178181	ORD-178181		400	ORD-178181	4.5	ORD-178181	9999	ORD-178181	9999		ORD-178181, CPC 2005-630-ZC-ZAA-SPR
179026	ORD-179026		300	ORD-179026	3.58	ORD-179026	85	ORD-179026	9999		ORD-179026, CPC-2006-7301-ZC-ZV-YV-SPR, CPC-2006-7301-ZC-ZV-YV-SPR-1A
180082	ORD-180082		400	ORD-180082	4.5	ORD-180082	9999	ORD-180082	9999		ORD-180082, CPC-2006-7068-ZC-HD-ZAA-SPR, CPC-2006-7068-ZC-HD-ZAA-SPR-1A, CPC-2006-7068-ZC-HD-ZAA-SPR-1A-EXT, DIR-2012-2767-CLQ-SPR
180381	ORD-180381		400	ORD-180381	5.8	ORD-180381	125	ORD-180381	10		ORD-180381, CPC-2007-3931-ZC-HD-CUB-CU-ZV-SPR, CPC-2007-3931-ZC-HD-CUB-CU-ZV-SPR-EXT2, ZA-2013-3504-ZV
180802	ORD-180802		400	ORD-180802	6	ORD-180802	60	ORD-180802	9999		ORD-180802, APCC-2008-3600-ZC-ZAA-ZAD, APCC-2008-3600-ZC-ZAA-ZAD-EXT, ZA-2015-2683-CU-ZV-ZAA, ZA-2015-2683-CU-ZV-ZAA-1A, ZA-2015-2683-CU-ZV-ZAA-2A
181644	ORD-181644		400	ORD-181644	3	ORD-181644	75	ORD-181644	9999		ORD-181644, CPC-2010-1945-HD-SPR
181726	ORD-181726		400	ORD-181726	4.5	ORD-181726	9999	ORD-181726	9999		ORD-181726, CPC-2008-3087-ZAA-ZC-HD-SPR, CPC-2008-3087-ZAA-ZC-HD-SPR-1A, CPC-2016-2848-VZC-HD-CUB-ZAA-SPR
181754	ORD-181754		400	ORD-181754	6	ORD-181754	9999	ORD-181754	9999		ORD-181754, CPC-2009-254-ZC-HD-SPR-GB, ORD-183413
182122	ORD-182122		400	ORD-182122	6	ORD-182122	186	ORD-182122	9999		ORD-182122, CPC-2007-1178-ZC-HD-SPR-ZAA-VCU, CPC-2007-1178-ZC-HD-SPR-ZAA-VCU-EXT
182636-HEIGHT ZONE A	ORD-182636	HEIGHT ZONE A	394	ORD-182636	6	ORD-182636	200	ORD-182636	39		ORD-182636, CPC-2008-3440-ZC-CUB-CU-ZV-DA-HD, CPC-2018-2114-ZCJ-HD-CU-MCUP-SPR
182636-HEIGHT ZONE B	ORD-182636	HEIGHT ZONE B	394	ORD-182636	6	ORD-182636	585	ORD-182636	39		ORD-182636, CPC-2008-3440-ZC-CUB-CU-ZV-DA-HD, CPC-2018-2114-ZCJ-HD-CU-MCUP-SPR
182636-HEIGHT ZONE C	ORD-182636	HEIGHT ZONE C	394	ORD-182636	6	ORD-182636	585	ORD-182636	35		ORD-182636, CPC-2008-3440-ZC-CUB-CU-ZV-DA-HD, CPC-2018-2114-ZCJ-HD-CU-MCUP-SPR
182636-HEIGHT ZONE D	ORD-182636	HEIGHT ZONE D	394	ORD-182636	6	ORD-182636	200	ORD-182636	35		ORD-182636, CPC-2008-3440-ZC-CUB-CU-ZV-DA-HD, CPC-2018-2114-ZCJ-HD-CU-MCUP-SPR
183808	ORD-183808		400	ORD-183808	6	ORD-183808	9999	ORD-183808	9999		ORD-183808
